i,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2
0,K00001,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.90E-08,-1.90E-08,2454955.763,6.20E-06,-6.20E-06,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,,,,14186.4,46.7,-46.7,0.123851,2.50E-05,-7.60E-05,1.83176,0.00684,-0.00441,12.85,0.27,-0.27,0.035,,,1344,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,7825.785,6802,1,,5850,50,-50,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05,,,,stellar_q1_q16,11.338,10.232,9.92,9.846,FALSE,5818.8,60,-60,4.4,0.1,-0.1,0.012,0.04,-0.04,1.3,1,-1,5815,66,-65,4.39,0.078,-0.091,0.013,0.041,-0.04,1.061,0.12481702,-0.087608723,1.014,0.034572799,-0.034572799,5.623413252,2.041346208,-2.923772861,9.75,0.13449853,-0.318694083,4.68,0.43,-0.49,14.31736426,1.419266443,-1.419266443,0.03595148,0.000595533,-0.000595533,890.7128534,184.8762155,-184.8762155,1392.188224,71.75832997,-71.75832997
1,K00002,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.80E-08,-3.80E-08,2454954.359,1.43E-05,-1.43E-05,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,,,,6690.6,1.3,-1.3,0.075408,8.00E-06,-7.00E-06,0.40593,6.00E-05,-0.00027,16.39,0.15,-0.14,0.0381,,,2025,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,3946.296,6714.5,1,,6350,80,-80,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036,,,,stellar_q1_q16,10.463,9.555,9.344,9.334,FALSE,6448.7,60,-60,4.134,0.1,-0.1,0.203,0.04,-0.04,5.2,1,-1,6447,65,-64,4.15,0.11,-0.11,0.192,0.041,-0.043,1.63,0.271960953,-0.222402248,1.374,0.094101809,-0.068732455,2.264644308,0.380486666,-0.543922191,9.355,0.067447181,-0.119289259,3.63,0.56,-0.51,13.40536889,2.018515231,-2.018515231,0.036880127,0.000726648,-0.000726648,3029.593093,931.186264,-931.186264,1890.643307,146.140168,-146.140168
2,K00003,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887802706,1.77E-07,-1.77E-07,2454957.813,2.79E-05,-2.79E-05,0.026,0.0486,-0.026,2.36386,0.00113,-0.00113,,,,4342.1,2.2,-2.2,0.057989,4.90E-05,-3.30E-05,3.70008,0.01139,-0.02911,4.84,0.19,-0.14,0.053,,,801,,,97.1,16.17,-12.29,16.7184,0.0515,-0.0515,2375.858,2207.8,1,,4777,93,-91,4.59,0.011,-0.041,0.32,0.1,-0.14,0.765,0.03,-0.022,0.829,0.024,-0.053,,,,stellar_q1_q16,9.174,7.608,7.131,7.009,FALSE,4864.3,60,-60,4.498,0.1,-0.1,0.327,0.04,-0.04,3.2,1,-1,4867,66,-65,4.541,0.039,-0.034,0.309,0.042,-0.043,0.807,0.033188848,-0.031456313,0.827,0.029976184,-0.026731472,9.332543008,4.260554669,-5.521532769,9.97,0.163318438,-0.388959884,25.3,1.1,-1.1,5.111454548,0.410257385,-0.410257385,0.052951957,0.000882562,-0.000882562,116.9077855,20.09441076,-20.09441076,837.9621158,35.98175191,-35.98175191
3,K00006,3248033,K00006.01,,FALSE POSITIVE,1.334104268,7.07E-07,-7.07E-07,2454966.702,0.00042,-0.00042,1.2741,0.1042,-0.2177,3.0142,0.0218,-0.0218,,,,444.2,3.1,-3.1,0.294016,0.103683,-0.209459,0.03526,0.00699,-0.00941,50.73,13.32,-10.92,0.025,,,2166,,,5207.55,3668.21,-2267.49,1.491,0.296,-0.296,49.141636,192.7,1,,6178,104,-133,4.106,0.175,-0.152,0,0.12,-0.14,1.58,0.415,-0.34,1.16,0.162,-0.114,,,,stellar_q1_q16,12.161,11.259,11.02,10.995,TRUE,6348.1,60,-60,4.357,0.1,-0.1,0.044,0.04,-0.04,11.8,1,-1,6344,65,-67,4.323,0.06,-0.084,0.041,0.042,-0.042,1.261,0.144222219,-0.089621696,1.225,0.041100487,-0.038733061,1.9498446,0.954318663,-1.153611705,9.29,0.173021027,-0.388959884,2.19,0.17,-0.22,39.72723019,21.96601442,-21.96601442,0.025382823,0.000427011,-0.000427011,3595.445148,694.1558936,-694.1558936,1973.338972,95.17989711,-95.17989711
4,K00007,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.12E-06,-1.12E-06,2454956.612,0.00028,-0.00028,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,,,,727.7,2.6,-2.6,0.024735,0.000141,-7.60E-05,0.46381,0.00018,-0.0571,4.14,0.11,-0.11,0.0439,,,1507,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,311.06277,328.5,1,,5781,76,-76,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073,,,,stellar_q1_q16,12.211,11.122,10.836,10.805,FALSE,5826.9,60,-60,4.089,0.1,-0.1,0.177,0.04,-0.04,2.8,1,-1,5833,60,-67,4.117,0.106,-0.096,0.171,0.041,-0.042,1.53,0.241942886,-0.202327359,1.119,0.1014981,-0.05937899,6.486344335,1.431511899,-1.63194095,9.812,0.086607612,-0.125864138,2.08,0.32,-0.28,4.125349954,0.596032176,-0.596032176,0.044246997,0.001074678,-0.001074678,1233.844672,367.3357361,-367.3357361,1510.353647,112.8898797,-112.8898797
5,K00008,5903312,K00008.01,,FALSE POSITIVE,1.160153243,4.27E-07,-4.27E-07,2454954.704,0.000369,-0.000369,0.7843,0.0178,-0.5569,1.4127,0.025,-0.025,,,,368.7,19.3,-19.3,0.018559,0.000246,-0.001678,1.01855,2.56372,-0.17903,2,0.38,-0.16,0.0213,,,1752,,,2229.29,1175.88,-491.07,4.17,1.7,-1.7,43.115734,201,1,,5842,112,-118,4.433,0.062,-0.156,-0.1,0.14,-0.16,0.985,0.187,-0.079,0.959,0.062,-0.069,,,,stellar_q1_q16,12.45,11.371,11.092,11.04,TRUE,5891.1,60,-60,4.535,0.1,-0.1,-0.066,0.04,-0.04,3,1,-1,5883,67,-64,4.46,0.044,-0.065,-0.063,0.042,-0.043,0.985,0.073682359,-0.052811836,1.017,0.035421965,-0.035421965,2.951209227,2.315747593,-1.950373648,9.47,0.251559758,-0.469637264,2.89,0.17,-0.2,1.993085535,0.191473491,-0.191473491,0.021740911,0.000361341,-0.000361341,2211.175946,378.3227509,-378.3227509,1747.50872,74.04775436,-74.04775436
6,K00010,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94E-07,-1.94E-07,2454954.119,4.64E-05,-4.64E-05,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,,,,9379.3,6.6,-6.6,0.093582,0.000117,-0.000198,0.68914,0.0184,-0.01254,14.83,1.19,-1.32,0.0473,,,1521,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1792.6439,1801.5,1,,6225,114,-158,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098,,,,stellar_q1_q16,13.563,12.576,12.324,12.293,FALSE,6181.3,60,-60,4.238,0.1,-0.1,-0.084,0.04,-0.04,10.2,1,-1,6179,68,-63,4.254,0.09,-0.107,-0.073,0.046,-0.045,1.31,0.221554598,-0.142430474,1.128,0.072594446,-0.045923345,3.990249024,0.822761208,-0.92566413,9.601,0.081416785,-0.114628343,1.19,0.14,-0.17,13.3928423,1.848297396,-1.848297396,0.047200656,0.000822173,-0.000822173,1008.984582,285.7976277,-285.7976277,1436.265269,101.5109725,-101.5109725
7,K00017,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13E-07,-1.13E-07,2454954.487,2.77E-05,-2.77E-05,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,,,,10814.1,4,-4,0.095137,2.00E-05,-1.80E-05,0.77551,0.00039,-0.00113,13.41,0.97,-1.03,0.0435,,,1355,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3100.344,3344.9,1,,5640,99,-110,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075,,,,stellar_q1_q16,13.303,12.001,11.706,11.634,FALSE,5659.8,60,-60,4.153,0.1,-0.1,0.359,0.04,-0.04,2.6,1,-1,5667,58,-63,4.165,0.1,-0.099,0.339,0.041,-0.04,1.45,0.221903132,-0.182321145,1.114,0.097577653,-0.062132104,6.714288529,1.720629829,-1.689290891,9.827,0.099080883,-0.125864138,1.53,0.22,-0.21,15.04314317,2.103315956,-2.103315956,0.044398449,0.001057678,-0.001057678,978.501477,284.1665231,-284.1665231,1425.292164,103.0515393,-103.0515393
8,K00018,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96E-07,-1.96E-07,2454955.901,4.59E-05,-4.59E-05,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,,,,7451.9,3.6,-3.6,0.080126,2.20E-05,-2.00E-05,0.39897,0.00033,-0.00057,15.28,1.18,-1.28,0.05,,,1640,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2373.4998,2442.4,1,,6290,105,-120,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135,,,,stellar_q1_q16,13.369,12.115,11.863,11.769,FALSE,6331.9,60,-60,4.121,0.1,-0.1,0.022,0.04,-0.04,4.4,1,-1,6333,67,-69,4.15,0.1,-0.11,0.025,0.041,-0.039,1.59,0.2818,-0.212394068,1.294,0.091726629,-0.073693788,2.944421634,0.430415946,-0.457565117,9.469,0.059252876,-0.073349271,1.22,0.18,-0.18,13.93840898,2.194129269,-2.194129269,0.049667855,0.001063157,-0.001063157,1483.296079,478.2922682,-478.2922682,1581.504702,127.993235,-127.993235
9,K00020,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.43796303,1.67E-07,-1.67E-07,2455004.009,2.81E-05,-2.81E-05,0,0.0139,0,4.70104,0.00092,-0.00092,,,,16721.1,5.2,-5.2,0.117936,1.60E-05,-2.30E-05,0.50824,0.0002,-0.0005,18.22,3.93,-3.13,0.0545,,,1338,,,757.65,442.92,-279.52,8.08834,0.00318,-0.00318,3401.3093,3953.1,1,,5953,105,-123,4.175,0.14,-0.131,0.08,0.13,-0.14,1.415,0.305,-0.243,1.093,0.128,-0.091,,,,stellar_q1_q16,13.438,12.406,12.107,12.066,FALSE,5926.5,60,-60,4.014,0.1,-0.1,0.033,0.04,-0.04,1.7,1,-1,5927,65,-65,4.05,0.105,-0.098,0.032,0.042,-0.041,1.67,0.262136529,-0.22252092,1.14,0.089937979,-0.0576961,5.942921586,1.155824889,-1.290563045,9.774,0.077181666,-0.106326823,1.06,0.16,-0.14,21.40900922,3.130341019,-3.130341019,0.055255037,0.001189717,-0.001189717,1004.271661,302.3853939,-302.3853939,1434.585139,107.3356849,-107.3356849
