# KepID, RA (deg), Dec (deg), Teff, Rs, Ms, FeH, Kp, period, period_unc, Ksini, Ksini_unc, T_0_ellip (BJD), T_0_refl (BJD), A_refl, A_ellip, phase_offsets, SNR, probability
2706947,290.01038,37.925758,6771,1.29,1.15,-0.44,13.7,2.5762,0.0018,150,144,2456423.956,2456424.276,48,3.9,0.124,0.7,0.981
2708787,290.44894,37.988708,4243,0.63,0.62,-0.12,15.1,1.8296,0.0008,326,188,2456423.177,2456423.266,49.6,6,0.048,0.3,0.987
3217078,285.78049,38.345821,4780,0.77,0.75,0.14,15.7,1.853,0.0008,389,200,2456423.703,2456423.99,50.7,9.2,0.155,0.24,0.984
3347307,292.73236,38.442211,5955,0.91,1,-0.16,14.6,1.8329,0.0008,251,248,2456425.179,2456425.039,31.5,5.7,-0.076,0.3,0.992
3539728,290.04871,38.67337,6075,0.97,1.05,-0.12,15.3,1.6002,0.0006,257,268,2456424.551,2456424.227,42.9,8.1,-0.203,0.29,0.982
3964318,294.08643,39.041279,4544,0.64,0.71,-0.08,14.1,1.7412,0.0007,133,108,2456424.157,2456424.298,28,2.3,0.081,0.32,0.977
4753174,293.64124,39.873501,6592,1.19,1.21,-0.12,14.3,1.685,0.0008,55,63,2456424.284,2456424.244,47.4,2.2,-0.024,0.6,0.981
4914087,288.88971,40.089748,5505,0.88,0.83,-0.18,15,2.2909,0.0017,496,372,2456424.271,2456424.068,22.8,9.8,-0.089,0.21,0.984
5001685,288.89331,40.110828,5713,1.01,1.01,0.18,14,2.2906,0.0014,221,108,2456424.198,2456424.058,15.1,4.8,-0.061,0.26,0.991
5354490,289.34195,40.560989,5638,0.97,1,0.21,14.7,2.6102,0.0016,130,112,2456425.248,2456425.502,47.1,2.1,0.097,0.52,0.992
5435675,287.57367,40.673309,6032,0.97,1.05,-0.06,15.5,1.5229,0.0006,45,85,2456425.213,2456424.99,29.5,1.6,-0.146,0.2,0.987
5479689,299.3256,40.63822,5360,0.91,0.92,0.24,13.8,1.7012,0.0008,158,111,2456422.53,2456422.769,15.5,5,0.141,0.24,0.987
5566612,299.59052,40.70116,5799,1.1,0.97,0,14.9,2.7099,0.002,513,454,2456423.38,2456423.217,27.1,11.4,-0.06,0.2,0.972
5597644,283.26529,40.809235,4608,0.67,0.66,-0.22,14.9,1.6228,0.0007,473,170,2456390.253,2456390.364,38.4,11.3,0.068,0.36,0.985
5716330,294.98325,40.97084,5952,1.3,1.05,0,13.9,1.5689,0.0006,57,32,2456424.823,2456424.688,29.8,4.6,-0.086,0.5,0.996
5781247,288.71573,41.030861,5561,0.85,0.97,0.07,15.6,1.6547,0.0008,59,112,2456423.404,2456423.32,37.1,1.5,-0.051,0.26,0.974
5878307,292.46521,41.16589,6856,1.42,1.28,-0.26,13.6,2.0466,0.0013,116,112,2456423.898,2456423.993,18.9,5,0.047,0.37,0.978
6047853,293.48605,41.320229,6422,1.42,1.22,-0.06,13.7,3.4193,0.0029,129,83,2456421.478,2456421.436,23.3,2.8,-0.012,0.44,0.985
6065597,297.93222,41.363781,5726,1.18,0.92,-0.08,13.7,3.9872,0.0045,254,232,2456427.461,2456427.243,20.4,4,-0.055,0.35,0.987
6388466,298.30063,41.765461,5988,1.07,0.99,-0.12,14.5,1.269,0.0004,64,64,2456423.839,2456423.874,43.2,4.4,0.028,0.47,0.993
6603087,290.87234,42.057789,5522,0.87,0.97,0.14,15.4,1.3457,0.0005,50,82,2456424.07,2456423.882,35.3,1.9,-0.14,0.26,0.975
6613542,293.95676,42.04937,6113,0.98,0.96,-0.34,14.1,4.4023,0.005,240,269,2456421.164,2456421.787,20.8,1.6,0.141,0.31,0.976
6675953,286.60907,42.173359,5565,0.82,0.8,-0.36,13.7,2.9651,0.0023,135,118,2456425.812,2456425.424,20.4,1.4,-0.131,0.4,0.988
6783562,293.62296,42.204281,6930,1.19,1.22,-0.32,13.6,2.0883,0.0014,243,267,2456425.862,2456425.532,42.7,6.3,-0.158,0.84,0.992
6976754,298.73401,42.435349,6607,1.2,1.22,-0.1,14.5,1.4196,0.0005,64,73,2456422.823,2456422.912,56.6,3.5,0.063,0.57,0.989
7045031,295.09708,42.596489,5445,0.8,0.78,-0.34,15.8,1.2886,0.0007,44,76,2456423.447,2456423.386,52.3,1.9,-0.047,0.3,0.976
7512130,286.39355,43.137791,6108,1.03,1.13,0.07,14.3,1.8712,0.0008,47,64,2456423.101,2456423.327,44.7,1.2,0.121,0.56,0.996
7596734,287.97717,43.257469,6078,0.88,0.96,-0.38,15,2.5893,0.0016,230,264,2456423.931,2456424.504,21.6,2.8,0.221,0.2,0.989
7735171,283.90421,43.448952,5738,0.95,0.97,0.02,15.2,1.8334,0.0008,186,190,2456424.787,2456424.537,37.2,5.1,-0.136,0.24,0.984
7938689,282.07098,43.784019,5269,0.92,0.83,0.07,15.4,1.841,0.0009,148,125,2456423.746,2456424.111,48.6,4.9,0.199,0.3,0.991
7978458,297.56415,43.761002,6188,1.08,1.03,-0.14,15,1.4349,0.0005,77,82,2456423.95,2456424.173,29.2,4,0.155,0.27,0.986
8026887,291.12845,43.874939,5988,1.22,1.01,-0.08,13.9,1.9232,0.0009,234,113,2456423.311,2456423.353,35.1,11.3,0.022,0.54,0.995
8042004,296.18439,43.843666,6223,1.64,1.3,0.14,13.3,1.9498,0.0011,42,39,2456425.756,2456425.551,14.5,3.3,-0.105,0.41,0.991
8098079,291.98013,43.904411,6198,1,1.07,-0.16,15.1,1.2873,0.0004,89,106,2456424.338,2456424.142,34.4,4.3,-0.152,0.27,0.992
8121913,298.9678,43.909389,5702,1.45,1.03,0.14,11.7,3.2943,0.0003,61,66,2456426.222,2456425.762,18.5,2.1,-0.14,0.56,0.988
8122501,299.10883,43.985931,5543,0.82,0.73,-0.54,14.7,1.029,0.0029,98,79,2456424.044,2456423.926,64,6.9,-0.114,0.61,0.98
8358253,289.07788,44.39481,5985,0.85,0.94,-0.36,14.5,1.5602,0.0006,609,541,2456423.669,2456423.483,33.7,16,-0.119,0.4,0.996
8364428,291.38873,44.352821,6525,1.59,1.05,-0.56,13.4,1.5737,0.0008,96,105,2456424.505,2456424.61,49.9,12.6,0.067,0.96,0.985
8389838,299.19931,44.326302,5725,0.94,0.87,-0.24,15,2.0092,0.0011,226,204,2456423.97,2456424.067,23.5,6,0.548,0.18,0.972
8410490,282.08298,44.435329,5821,0.87,0.91,-0.28,14.1,1.3621,0.0004,88,83,2456424.016,2456424.105,23.3,3.4,0.066,0.32,0.994
8499974,293.68069,44.573639,5952,0.84,0.93,-0.36,14.9,1.4916,0.0005,238,222,2456424.373,2456424.174,35.9,6.6,-0.133,0.38,0.981
8559208,291.49591,44.600159,6029,0.82,0.92,-0.5,14.5,2.1802,0.0012,368,338,2456425.373,2456425.251,25.9,5.1,-0.056,0.3,0.992
8752590,291.47281,44.956589,5750,0.95,0.97,0,15.6,1.088,0.0003,99,100,2456423.849,2456423.908,58.4,6.6,0.054,0.35,0.98
8832613,296.77988,45.06234,4571,0.66,0.67,-0.2,15.8,1.5788,0.0008,393,187,2456424.156,2456424.415,53.8,9.1,0.164,0.27,0.971
8847921,300.94221,45.09841,5739,1.14,0.93,-0.06,14.7,1.7975,0.0008,32,46,2456423.199,2456423.33,28,1.7,0.073,0.23,0.985
8885337,291.7265895,45.12058,6950,1.39,1.43,0.07,13.9,2.2199,0.0013,139,171,2456424.113,2456423.863,37.8,4.2,-0.113,0.55,0.978
9040864,297.6082695,45.31879,5774,1.13,0.92,-0.12,14.7,2.1063,0.0013,81,90,2456423.122,2456423.45,46.2,3.2,0.156,0.36,0.971
9287646,294.47601,45.790329,6258,1.03,1.09,-0.16,14.1,2.5591,0.0018,568,569,2456425.795,2456425.644,18.9,9,-0.059,0.27,0.986
9475045,295.65652,46.07238,6143,1.12,1.19,0.21,15.1,1.173,0.0003,51,63,2456424.946,2456424.707,38.4,3.6,-0.204,0.33,0.995
